UUID,first_name,last_name,salary,dept_name,salary_increment
52518c2f-b4ef-49dd-ac0d-b3dc434f7410,Porter,Cain,9067,Sales,17
64976e4b-1bc7-4ab5-b92c-3062e0eee687,Wesley,Duncan,4820,Sales,17
c98d54b5-f120-4dd0-aea1-027561dda4b3,Charles,Martin,9030,Marketing,16
5bc04c39-40f6-4a34-a1df-ab62015c1788,Philip,Timon,5468,Sales,17
9e0c0cb4-f4fb-46da-b837-8803a504e13e,Ronan,Flynn,6241,Sales,17
a65e1cd6-0baf-430e-ad7b-b6ac5627e989,Samson,Dolan,6855,IT,15
cddbd545-bc45-49d2-bb24-b4e81b1a6fe6,Ezekiel,Bert,5907,IT,15
803ff948-a418-4627-af2f-280186745e11,Brendan,Tyrone,9470,Sales,17
ef0d650c-f881-4adb-abb3-606263fc0407,Macaulay,Timon,9861,Marketing,16
ed9f21d6-159c-40db-a6b5-22f76d1fafda,Omar,Ray,6198,IT,15
10a3de65-456b-4c7a-8668-1b211cb5cf5b,Travis,Kenneth,7465,Sales,17
ee0e58f7-d036-4aac-a5a7-47d92c19d795,Allen,Cedric,4506,IT,15
87f42267-fa20-47dc-a3b9-d206d02d14d2,Tiger,Elliott,5489,IT,15
e39d5a06-a76e-4cf7-944f-6d54ad92a7bc,Fitzgerald,Blaze,8538,Finance,10
8c2e2052-cae7-4141-8c00-ca40cf9becea,Akeem,Caleb,8852,IT,15
e91a3889-03ab-4b2e-91ab-38eb2d83bee1,Aaron,Brandon,6128,IT,15
2f06c3f7-29c6-4c28-b2b1-b82fc04760b9,Chase,Rajah,4391,Marketing,16
4ea3c041-43dc-4e81-8db8-a98d6402210c,Rajah,Tucker,5650,Marketing,16
2cedf14b-6dab-432f-970f-efa8b3a6d878,John,Tad,9037,Finance,10
487effb9-0be9-4d13-adcb-788b4ab8dd73,Alexander,Kieran,7923,Sales,17
8e87264b-5357-4534-85f4-4632acf0f5ac,Wyatt,Kuame,4817,Marketing,16
1b39012e-d19a-46db-93d4-e5de548d6c7e,Zahir,Roth,3749,IT,15
a4951712-27b1-4e26-9a03-070e278150b1,Benedict,Lance,8397,Sales,17
401f091d-9011-4b80-931e-3cfa9525126f,Keith,Reuben,9660,Marketing,16
ebb36f20-4c29-4d2a-9270-3d9cd2e1cc84,Dante,Mohammad,8446,Sales,17
97f72e29-5b5a-42d4-a439-12ec4bcddcb9,Len,George,5995,Sales,17
38c1fd99-4466-4887-bed6-c5da9d92428f,Castor,Baxter,8336,IT,15
fd34bc77-edf8-44f9-b16b-6f6da03fa4c3,Keane,Jerry,4836,IT,15
6d4b70bc-b88a-429d-b91c-11551b9c5f31,Jasper,Forrest,6501,Marketing,16
f87d628c-5eea-46e4-b985-df129aa2c594,Judah,Malcolm,3846,Sales,17
e12e7043-af31-4e93-8b48-a59b303da10a,Jamal,Sylvester,5527,Marketing,16
afb01cc2-d089-4359-b4fc-34c6bd9be39e,Dolan,Lionel,4882,Sales,17
e370cfc6-0cba-40f5-839d-0d54a9db2845,Hiram,Oleg,5265,IT,15
1b86e9ca-719e-4061-a6b7-d08ee60cc958,Lance,Ivor,9832,Sales,17
93453109-2dd7-4481-9d57-9e24948f1a03,Castor,Kasimir,4600,Finance,10
927cc846-0e4e-4b46-9815-502b38e7735c,Fletcher,Robert,8825,Sales,17
e46c8d67-8cbd-4c82-99bd-9061a23eb370,Brady,Warren,5986,Finance,10
1710f305-a03f-4775-b7e2-b4cb0bee2f00,Henry,Zachary,4988,Marketing,16
ba2dc611-a7dd-444b-ae37-62b16c3b4424,Quinlan,Elliott,7503,Sales,17
602c3f59-d3b1-4f87-a526-56a5f9ad78ef,Brenden,Wang,9905,Marketing,16
f4590976-1885-4392-826d-384902b2416d,John,Nash,4269,IT,15
